257910,,Arnium leporinum,svamp,Art,3,,NE,,,Sapro;;
257912,,Arnium mendax,svamp,Art,1,,NE,,,Sapro;;
257913,,Arnium olerum,svamp,Art,0,,NE,,,Sapro;;
257914,,Arnium ovale,svamp,Art,0,,NE,,,Sapro;;
257915,,Arnium septosporum,svamp,Art,0,,NE,,,Sapro;;
257916,,Arnium sudermanniae,svamp,Art,1,,NE,,,Sapro;;
257917,,Arnium tomentosum,svamp,Art,0,,NE,,,Sapro;;
1967,huldreskål,Arpinia fusispora,svamp,Art,6,Jordbrukslandskap (J) - Har betydelse,,,,Sapro;;
3038,musselkantarell,Arrhenia acerosa,svamp,Art,94,Fjäll (F) - Stor betydelse,,,,Sapro;;
3039,skaftöra,Arrhenia auriscalpium,svamp,Art,6,Fjäll (F) - Stor betydelse,,,,Sapro;;
